,type,date,LocationX,LocationY,value
65,precipitation,2019-01-14T10:15:00Z,265644.653,99085.58,0.000000000000
66,precipitation,2019-01-14T10:30:00Z,265644.653,99085.58,0.000000000000
67,precipitation,2019-01-14T10:45:00Z,265644.653,99085.58,0.000000000000
68,precipitation,2019-01-14T11:00:00Z,265644.653,99085.58,0.000000000000
69,precipitation,2019-01-14T11:15:00Z,265644.653,99085.58,0.000000000000
70,precipitation,2019-01-14T11:30:00Z,265644.653,99085.58,0.000000000000
71,precipitation,2019-01-14T11:45:00Z,265644.653,99085.58,0.000000000000
72,precipitation,2019-01-14T12:00:00Z,265644.653,99085.58,0.000000000000
73,precipitation,2019-01-14T12:15:00Z,265644.653,99085.58,0.000000000000
74,precipitation,2019-01-14T12:30:00Z,265644.653,99085.58,0.000000000000
75,soil moisture @ 10cm depth,2019-01-14T06:30:00Z,265644.653,99085.58,39.320000000000
76,soil moisture @ 10cm depth,2019-01-14T06:45:00Z,265644.653,99085.58,39.320000000000
77,soil moisture @ 10cm depth,2019-01-14T07:00:00Z,265644.653,99085.58,39.320000000000
78,soil moisture @ 10cm depth,2019-01-14T07:15:00Z,265644.653,99085.58,39.320000000000
79,soil moisture @ 10cm depth,2019-01-14T07:30:00Z,265644.653,99085.58,39.320000000000
80,soil moisture @ 10cm depth,2019-01-14T07:45:00Z,265644.653,99085.58,39.320000000000
81,soil moisture @ 10cm depth,2019-01-14T08:00:00Z,265644.653,99085.58,39.320000000000
82,soil moisture @ 10cm depth,2019-01-14T08:15:00Z,265644.653,99085.58,39.320000000000
83,soil moisture @ 10cm depth,2019-01-14T08:30:00Z,265644.653,99085.58,39.360000000000
84,soil moisture @ 10cm depth,2019-01-14T08:45:00Z,265644.653,99085.58,39.390000000000
85,soil moisture @ 10cm depth,2019-01-14T09:00:00Z,265644.653,99085.58,39.360000000000
86,soil moisture @ 10cm depth,2019-01-14T09:15:00Z,265644.653,99085.58,39.410000000000
87,soil moisture @ 10cm depth,2019-01-14T09:30:00Z,265644.653,99085.58,39.360000000000
88,soil moisture @ 10cm depth,2019-01-14T09:45:00Z,265644.653,99085.58,39.360000000000
89,soil moisture @ 10cm depth,2019-01-14T10:00:00Z,265644.653,99085.58,39.360000000000
90,soil moisture @ 10cm depth,2019-01-14T10:15:00Z,265644.653,99085.58,39.360000000000
91,soil moisture @ 10cm depth,2019-01-14T10:30:00Z,265644.653,99085.58,39.360000000000
92,soil moisture @ 10cm depth,2019-01-14T10:45:00Z,265644.653,99085.58,39.340000000000
93,soil moisture @ 10cm depth,2019-01-14T11:00:00Z,265644.653,99085.58,39.320000000000
94,soil moisture @ 10cm depth,2019-01-14T11:15:00Z,265644.653,99085.58,39.320000000000
95,soil moisture @ 10cm depth,2019-01-14T11:30:00Z,265644.653,99085.58,39.320000000000
96,soil moisture @ 10cm depth,2019-01-14T11:45:00Z,265644.653,99085.58,39.490000000000
97,soil moisture @ 10cm depth,2019-01-14T12:00:00Z,265644.653,99085.58,39.320000000000
98,soil moisture @ 10cm depth,2019-01-14T12:15:00Z,265644.653,99085.58,39.320000000000
99,soil moisture @ 10cm depth,2019-01-14T12:30:00Z,265644.653,99085.58,39.280000000000
100,precipitation,2019-01-14T12:45:00Z,265644.653,99085.58,0.000000000000
101,precipitation,2019-01-14T13:00:00Z,265644.653,99085.58,0.000000000000
102,precipitation,2019-01-14T13:15:00Z,265644.653,99085.58,0.000000000000
103,precipitation,2019-01-14T13:30:00Z,265644.653,99085.58,0.000000000000
104,precipitation,2019-01-14T13:45:00Z,265644.653,99085.58,0.000000000000
105,precipitation,2019-01-14T14:00:00Z,265644.653,99085.58,0.000000000000
106,precipitation,2019-01-14T14:15:00Z,265644.653,99085.58,0.000000000000
107,precipitation,2019-01-14T14:30:00Z,265644.653,99085.58,0.000000000000
108,precipitation,2019-01-14T14:45:00Z,265644.653,99085.58,0.000000000000
109,precipitation,2019-01-14T15:00:00Z,265644.653,99085.58,0.000000000000
110,precipitation,2019-01-14T15:15:00Z,265644.653,99085.58,0.000000000000
111,precipitation,2019-01-14T15:30:00Z,265644.653,99085.58,0.000000000000
112,precipitation,2019-01-14T15:45:00Z,265644.653,99085.58,0.000000000000
113,precipitation,2019-01-14T16:00:00Z,265644.653,99085.58,0.000000000000
114,precipitation,2019-01-14T16:15:00Z,265644.653,99085.58,0.000000000000
115,precipitation,2019-01-14T16:30:00Z,265644.653,99085.58,0.000000000000
116,precipitation,2019-01-14T16:45:00Z,265644.653,99085.58,0.000000000000
117,precipitation,2019-01-14T17:00:00Z,265644.653,99085.58,0.000000000000
118,precipitation,2019-01-14T17:15:00Z,265644.653,99085.58,0.000000000000
119,precipitation,2019-01-14T17:30:00Z,265644.653,99085.58,0.000000000000
120,precipitation,2019-01-14T17:45:00Z,265644.653,99085.58,0.000000000000
121,precipitation,2019-01-14T18:00:00Z,265644.653,99085.58,0.000000000000
122,precipitation,2019-01-14T18:15:00Z,265644.653,99085.58,0.000000000000
123,precipitation,2019-01-14T18:30:00Z,265644.653,99085.58,0.000000000000
124,precipitation,2019-01-14T18:45:00Z,265644.653,99085.58,0.000000000000
125,soil moisture @ 10cm depth,2019-01-14T12:45:00Z,265644.653,99085.58,39.320000000000
126,soil moisture @ 10cm depth,2019-01-14T13:00:00Z,265644.653,99085.58,39.320000000000
127,soil moisture @ 10cm depth,2019-01-14T13:15:00Z,265644.653,99085.58,39.340000000000
128,soil moisture @ 10cm depth,2019-01-14T13:30:00Z,265644.653,99085.58,39.320000000000
129,soil moisture @ 10cm depth,2019-01-14T13:45:00Z,265644.653,99085.58,39.320000000000
130,soil moisture @ 10cm depth,2019-01-14T14:00:00Z,265644.653,99085.58,39.320000000000
131,soil moisture @ 10cm depth,2019-01-14T14:15:00Z,265644.653,99085.58,39.320000000000
132,soil moisture @ 10cm depth,2019-01-14T14:30:00Z,265644.653,99085.58,39.340000000000
133,soil moisture @ 10cm depth,2019-01-14T14:45:00Z,265644.653,99085.58,39.320000000000
134,soil moisture @ 10cm depth,2019-01-14T15:00:00Z,265644.653,99085.58,39.320000000000
135,soil moisture @ 10cm depth,2019-01-14T15:15:00Z,265644.653,99085.58,39.320000000000
136,soil moisture @ 10cm depth,2019-01-14T15:30:00Z,265644.653,99085.58,39.320000000000
137,soil moisture @ 10cm depth,2019-01-14T15:45:00Z,265644.653,99085.58,39.320000000000
138,soil moisture @ 10cm depth,2019-01-14T16:00:00Z,265644.653,99085.58,39.320000000000
139,soil moisture @ 10cm depth,2019-01-14T16:15:00Z,265644.653,99085.58,39.320000000000
140,soil moisture @ 10cm depth,2019-01-14T16:30:00Z,265644.653,99085.58,39.320000000000
141,soil moisture @ 10cm depth,2019-01-14T16:45:00Z,265644.653,99085.58,39.340000000000
142,soil moisture @ 10cm depth,2019-01-14T17:00:00Z,265644.653,99085.58,39.340000000000
143,soil moisture @ 10cm depth,2019-01-14T17:15:00Z,265644.653,99085.58,39.340000000000
144,soil moisture @ 10cm depth,2019-01-14T17:30:00Z,265644.653,99085.58,39.340000000000
145,soil moisture @ 10cm depth,2019-01-14T17:45:00Z,265644.653,99085.58,39.320000000000
146,soil moisture @ 10cm depth,2019-01-14T18:00:00Z,265644.653,99085.58,39.280000000000
147,soil moisture @ 10cm depth,2019-01-14T18:15:00Z,265644.653,99085.58,39.260000000000
148,soil moisture @ 10cm depth,2019-01-14T18:30:00Z,265644.653,99085.58,39.260000000000
149,soil moisture @ 10cm depth,2019-01-14T18:45:00Z,265644.653,99085.58,39.260000000000
150,precipitation,2019-01-14T19:00:00Z,265644.653,99085.58,0.000000000000
151,precipitation,2019-01-14T19:15:00Z,265644.653,99085.58,0.000000000000
152,precipitation,2019-01-14T19:30:00Z,265644.653,99085.58,0.000000000000
153,precipitation,2019-01-14T19:45:00Z,265644.653,99085.58,0.000000000000
154,precipitation,2019-01-14T20:00:00Z,265644.653,99085.58,0.000000000000
155,precipitation,2019-01-14T20:15:00Z,265644.653,99085.58,0.000000000000
156,precipitation,2019-01-14T20:30:00Z,265644.653,99085.58,0.000000000000
157,precipitation,2019-01-14T20:45:00Z,265644.653,99085.58,0.000000000000
158,precipitation,2019-01-14T21:00:00Z,265644.653,99085.58,0.000000000000
159,precipitation,2019-01-14T21:15:00Z,265644.653,99085.58,0.000000000000
160,precipitation,2019-01-14T21:30:00Z,265644.653,99085.58,0.000000000000
161,precipitation,2019-01-14T21:45:00Z,265644.653,99085.58,0.000000000000
162,precipitation,2019-01-14T22:00:00Z,265644.653,99085.58,0.000000000000
163,precipitation,2019-01-14T22:15:00Z,265644.653,99085.58,0.000000000000
164,precipitation,2019-01-14T22:30:00Z,265644.653,99085.58,0.000000000000
165,precipitation,2019-01-14T22:45:00Z,265644.653,99085.58,0.000000000000
166,precipitation,2019-01-14T23:00:00Z,265644.653,99085.58,0.000000000000
167,precipitation,2019-01-14T23:15:00Z,265644.653,99085.58,0.000000000000
168,precipitation,2019-01-14T23:30:00Z,265644.653,99085.58,0.000000000000
169,precipitation,2019-01-14T23:45:00Z,265644.653,99085.58,0.000000000000
170,precipitation,2019-01-15T00:00:00Z,265644.653,99085.58,0.000000000000
171,precipitation,2019-01-15T00:15:00Z,265644.653,99085.58,0.000000000000
172,precipitation,2019-01-15T00:30:00Z,265644.653,99085.58,0.000000000000
173,precipitation,2019-01-15T00:45:00Z,265644.653,99085.58,0.000000000000
174,precipitation,2019-01-15T01:00:00Z,265644.653,99085.58,0.000000000000
175,soil moisture @ 10cm depth,2019-01-14T19:00:00Z,265644.653,99085.58,39.260000000000
176,soil moisture @ 10cm depth,2019-01-14T19:15:00Z,265644.653,99085.58,39.280000000000
177,soil moisture @ 10cm depth,2019-01-14T19:30:00Z,265644.653,99085.58,39.280000000000
178,soil moisture @ 10cm depth,2019-01-14T19:45:00Z,265644.653,99085.58,39.280000000000
179,soil moisture @ 10cm depth,2019-01-14T20:00:00Z,265644.653,99085.58,39.280000000000
180,soil moisture @ 10cm depth,2019-01-14T20:15:00Z,265644.653,99085.58,39.300000000000
181,soil moisture @ 10cm depth,2019-01-14T20:30:00Z,265644.653,99085.58,39.320000000000
182,soil moisture @ 10cm depth,2019-01-14T20:45:00Z,265644.653,99085.58,39.320000000000
183,soil moisture @ 10cm depth,2019-01-14T21:00:00Z,265644.653,99085.58,39.280000000000
184,soil moisture @ 10cm depth,2019-01-14T21:15:00Z,265644.653,99085.58,39.320000000000
185,soil moisture @ 10cm depth,2019-01-14T21:30:00Z,265644.653,99085.58,39.320000000000
186,soil moisture @ 10cm depth,2019-01-14T21:45:00Z,265644.653,99085.58,39.300000000000
187,soil moisture @ 10cm depth,2019-01-14T22:00:00Z,265644.653,99085.58,39.300000000000
